0.0008983157,4.217258E-08,4.876929E-08,1.548148E-08,1.334939E-08,9.625293E-09,2.291329E-08,9.441843E-08
0.0008983157,4.217258E-08,4.876929E-08,1.548148E-08,1.334939E-08,9.625293E-09,2.291329E-08,9.441843E-08
0.0008983157,4.217258E-08,4.876929E-08,1.548148E-08,1.334939E-08,9.625293E-09,2.291329E-08,9.441843E-08
0.6071251,1,1,1,1,1,1,0.8275251
0.5720389,0.9930514,0.9904535,0.9975745,0.9982134,0.998527,0.9971837,0.8179428
0.5194096,0.9826285,0.9761338,0.9939364,0.9955335,0.9963176,0.9929593,0.8035694
0.4404657,0.9669941,0.9546542,0.9884792,0.9915137,0.9930034,0.9866226,0.7820093
0.3220499,0.9435425,0.9224347,0.9802933,0.985484,0.9880321,0.9771176,0.7496691
0.1444261,0.9083652,0.8741056,0.9680145,0.9764395,0.9805753,0.9628601,0.7011589
-0.1220095,0.8555992,0.801612,0.9495964,0.9628726,0.96939,0.941474,0.6283935
0.008091342,0.7764502,0.6928715,0.9219693,0.9425223,0.9526119,0.9093947,0.5192454
-0.02699484,0.6577266,0.5297608,0.8805285,0.911997,0.9274449,0.8612758,0.3555233
0.0008983157,0.4796413,0.2850948,0.8183674,0.8662088,0.8896945,0.7890974,0.1099402
0.0008983157,0.2125133,-0.08190428,0.7251257,0.7975266,0.8330686,0.6808299,-0.2584346
0.0008983157,-0.1881787,4.748781E-08,0.5852631,0.6945033,0.74813,0.5184285,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,0.3754692,0.5399684,0.620722,0.2748265,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,0.0607783,0.308166,0.42961,-0.09057661,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,-0.411258,-0.03953758,0.1429421,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,-0.2870598,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.5411264,0.9873576,0.9489696,0.9404062,0.9571192,0.9897185,0.9569297,0.8637974
0.5060402,0.980409,0.9394231,0.9379808,0.9553326,0.9882455,0.9541134,0.8542151
0.4534109,0.969986,0.9251034,0.9343426,0.9526528,0.9860361,0.9498889,0.8398418
